id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
120,Large pot of Oolong tea,,1,1,1900,1900,0.2,0.2
121,Pot of chocolate,,72,72,1892,1955,0.15,20
122,Pitcher of milk,,9,11,1900,1914,0.1,0.15
123,Pot of broma,,16,16,1893,1900,0.2,0.25
124,"Suppe, Schlossherrin Art",,2,2,1900,1900,0,0
125,"Eggs, boiled [2]",,6,6,1900,1918,0.2,0.25
126,Sliced Bananas and Cream,,163,169,1900,1949,0.05,0.45
127,Baked Apples and Cream,,112,119,1882,1913,0.05,40
128,Pettijohn Breakfast Food,,3,3,1900,1900,0,0
129,Quaker Oats,,84,86,1899,1958,0.2,0.25
130,Hotch potch von Ochsenschwanazen,,1,1,1900,1900,0,0
131,Sugar Cured Ham,,76,79,1893,1987,0,4.15
132,"PINE APPLE FRITTERS, SAUCE MARASCHINO",,3,3,1900,1900,0,0
133,Planked shad,,58,58,1896,1907,0.3,150
134,"Baked bluefish, Duxelle",,2,2,1900,1900,0.6,0.6
135,Consomme aux Quenelle's,,2,2,1900,1900,,
136,Milk rice,,44,48,1900,1970,,
137,Mohren Suppe mit Sago,,3,3,1900,1901,0,0
138,French rolls,,217,221,1880,1965,0.05,5
139,Milk rolls,,49,49,1889,1939,0.01,0.1
140,Corn muffins,,284,295,1881,1987,0,0.6
141,Omelette aux fines herbes,,42,42,1900,1978,0,0.7
142,Boiled eggs,,540,556,1853,1987,0,20
143,Bacon and eggs,,473,499,1889,1987,0,25
144,Fish cakes,,148,156,1894,1953,0,15
145,Food,,2,2,1900,1900,0,0
146,Shreaded Wheat,,3,3,1900,1900,0,0
147,Clam cocktail,,269,287,1900,1968,0.05,25
148,Oyster cocktail,,461,498,1896,1987,0,30
150,Little Neck clams,,1000,1078,1882,1989,0,50
151,Stuffed olives,,465,472,1862,1969,0,50
152,Lalla Rookh,,116,122,1889,1959,0,40
153,Malaga grapes,,351,353,1882,1941,0.1,40
154,Martineaus,,7,7,1890,1900,0.4,0.4
155,Oatmeal,,532,610,1,1988,0,20
156,hominy with milk,,33,33,1900,1943,0,0
157,Baked apples,,263,265,1865,1972,0.05,20
158,"PATTIES OF SWEET BREADS, A LA TOULOUSE",,3,3,1900,1900,0,0
159,"Chicken broth, per cup",,7,7,1900,1915,0.2,0.3
160,"Terrapin, Maryland",,100,112,1887,1917,0.65,350
161,Sardines on toast,,62,62,1881,1964,0,0.5
162,English snipe,,94,94,1882,1907,0.45,60
163,Charlotte Russe,,822,897,1851,1973,0,30
164,Tutti frutti,,125,138,1883,1969,0.2,25
